manufacturer,model_name,price,url,movement_type,metal_type,hour_markers,bezel_type,years_available,discontinued
Rolex,Datejust 41,14995.00,https://www.bobswatches.com/rolex-datejust-41-126333-silver-chromalight-dial.html,Automatic,Steel and Gold,Index,Fluted,2010 - Present,No
Rolex,Sky-Dweller,17695.00,https://www.bobswatches.com/rolex-sky-dweller-326933-black-dial.html,Automatic,Steel and Gold,Index,Fluted,2010 - Present,Yes
Rolex,GMT-Master II,20995.00,https://www.bobswatches.com/rolex-gmt-master-ii-ref-126710blro-jubilee-bracelet.html,Automatic,Stainless Steel,Luminous,GMT,2010 - Present,No
Rolex,Datejust 36,7795.00,https://www.bobswatches.com/pre-owned-rolex-datejust-126200-black-index-dial.html,Automatic,Stainless Steel,Index,Smooth,2010 - Present,No
Rolex,Datejust 36,8995.00,https://www.bobswatches.com/pre-owned-rolex-datejust-126200-stainless-steel-oyster.html,Automatic,Stainless Steel,Index,Smooth,2010 - Present,No
Rolex,Sea-Dweller,10995.00,https://www.bobswatches.com/rolex-sea-dweller-deepsea-ref-126660-black-dial.html,Automatic,Stainless Steel,Luminous,Timing,2010 - Present,Yes
Rolex,Oyster Perpetual 34,9995.00,https://www.bobswatches.com/rolex-oyster-perpetual-1002-tiffany-and-co-dial.html,Automatic,Stainless Steel,Index,Smooth,1970s,Yes
Rolex,Submariner,9495.00,https://www.bobswatches.com/mens-rolex-submariner-14060-steel-oyster.html,Automatic,Stainless Steel,Tritium,Timing,1990s,Yes
Rolex,Datejust 36,6495.00,https://www.bobswatches.com/rolex-datejust-36-16233-champagne-dial.html,Automatic,Steel and Gold,Index,Fluted,1990s,Yes
Rolex,Date,4995.00,https://www.bobswatches.com/pre-owned-rolex-date-1500-slate-dial.html,Automatic,Stainless Steel,Index,Smooth,1970s,Yes
Rolex,Daytona,48995.00,https://www.bobswatches.com/rolex-daytona-116508-18k-yellow-gold.html,Automatic,Yellow Gold,Index,Tachymetric,2010 - Present,Yes
